test_case_id,rule_id,description,input_fields,expected_outcome,source
TC-EX-001,DRV-WAGE-008,Lookup bundled CBSA wage index for claim year,cbsa=10180; claim_year=2021; ESBUN210 contains CBSA 10180 with wage_index=1.0500 for 2021,BUN-CBSA-W-INDEX=1.0500 and RTC=00,Synthetic
TC-EX-002,DRV-WAGE-010,Reject mismatched bundled CBSA wage index year,cbsa=10180; claim_year=2021; ESBUN210 has 2020-only record,BUN-CBSA-W-INDEX=0.0000 and RTC=60,Synthetic
TC-EX-003,DRV-WAGE-007,Children's hospital override applied,provider_oscar=093300 (in ESCHI151); claim_year=2015; cbsa=10180,BUN-CBSA-W-INDEX=ChildHospIndex and standard CBSA lookup bypassed,Synthetic
TC-EX-004,DRV-WAGE-009,Cap supplemental wage index decrease to 5%,supp_wi_ind=1; prior_wi=1.0000; current_wi=0.9000,capped_wi=0.9500,Synthetic
TC-EX-005,CAL-002,Compute bundled base wage amount,base_rate=100.00; labor_share=0.523; wage_index=1.10,labor=57.53; non_labor=47.70; base_wage=105.23,Synthetic
TC-EX-006,CAL-001P,AKI claim bypasses bundled factors,cond_code=84; base_wage=120.00; qip_factor=0.985,final_payment=120.00 and bundled factors skipped,Synthetic
TC-EX-007,CAL-008,Pediatric age classification,dob=2008-02-15; thru_date=2021-02-01,age=12 and pediatric_track=Y,Synthetic
TC-EX-008,CAL-005,Low BMI adjustment applied,age=45; height_cm=170; weight_kg=50,BMI=17.30 and low_BMI_factor applied,Synthetic
TC-EX-009,CAL-009,Onset adjustment within 120 days,dialysis_start=2021-01-01; service_date=2021-04-30; age=45,onset_days<=120 and onset_factor applied,Synthetic
TC-EX-010,CAL-007,Map QIP indicator to reduction factor,qip_indicator='2',qip_factor=0.990,Synthetic
TC-EX-011,CAL-018,Apply QIP reduction to final amount,final_payment=200.00; qip_factor=0.985,reduced_payment=197.00,Synthetic
TC-EX-012,CAL-011,Comorbidity priority selects highest,"comorbid_codes=MA,MD",selected_comorbid=MA and highest_multiplier applied,Synthetic
TC-EX-013,CAL-019,Network reduction per diem,cond_code=74; rev_code=0841; final_payment=200.00,network_reduction=0.21 and final_payment=199.79,Synthetic
TC-AUTO-0001,DRV-001,Auto baseline for DRV-001: Reject claims with invalid or pre-cutoff thru dates,Given the claim thru date is before 2005-04-01 or is non-numeric | When the claim date is validated | Example: thru_date=2004-12-31; claim_date=2004-12-31,Then the return code is 98,Synthetic (auto-derived)
TC-AUTO-0002,DRV-002,Auto baseline for DRV-002: Reject claims with non-numeric exception rate,Given the exception rate is non-numeric | When the exception rate is validated | Example: base_rate=100.00; exception_rate=ABC,Then the return code is 50,Synthetic (auto-derived)
TC-AUTO-0003,DRV-003,Auto baseline for DRV-003: Apply exception rate for pre-2011 claims,Given the claim thru date is before 2011-01-01 And the exception rate is greater than zero | When the claim is evaluated | Example: base_rate=100.00; exception_rate=0.12; thru_date=2010-12-31,Then the final payment equals the exception rate And the return code is 1,Synthetic (auto-derived)
TC-AUTO-0004,DRV-004,Auto baseline for DRV-004: Apply exception rate for Pacific Island Trust Territories (2011-2013),Given the claim thru date is between 2011-01-01 and 2013-12-31 And the Pacific Island Trust Territories indicator equals 2 And the exception rate is greater than zero | When the claim is evaluated | Example: base_rate=100.00; exception_rate=0.12; thru_date=2021-01-31,Then the final payment equals the exception rate And the return code is 1,Synthetic (auto-derived)
