cobol_program,cobol_section,cobol_paragraph,cobol_line_start,cobol_line_end,gherkin_feature,gherkin_scenario,rule_id,policy_id,policy_section,policy_page_line,effective_date,transmittal_id,test_case_id,normalization_ids,status,notes
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,039700,040000,gherkin_rules/esdrv212.feature,Reject claims with invalid or pre-cutoff thru dates,DRV-001,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0001,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,040200,040500,gherkin_rules/esdrv212.feature,Reject claims with non-numeric exception rate,DRV-002,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0002,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,042000,042400,gherkin_rules/esdrv212.feature,Apply exception rate for pre-2011 claims,DRV-003,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0003,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,042600,043300,gherkin_rules/esdrv212.feature,Apply exception rate for Pacific Island Trust Territories (2011-2013),DRV-004,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0004,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,052000,052800,gherkin_rules/esdrv212.feature,Route CY2021 claims to ESCAL212,DRV-005,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0005,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,053600,054400,gherkin_rules/esdrv212.feature,Route CY2020 H2 claims to ESCAL202,DRV-006,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0006,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,055200,056000,gherkin_rules/esdrv212.feature,Route CY2020 H1 claims to ESCAL200,DRV-007,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0007,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,056800,057600,gherkin_rules/esdrv212.feature,Route CY2019 claims to ESCAL191,DRV-008,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0008,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,058300,059100,gherkin_rules/esdrv212.feature,Route CY2018 claims to ESCAL180,DRV-009,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0009,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,059800,060600,gherkin_rules/esdrv212.feature,Route CY2017 H2 claims to ESCAL171,DRV-010,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0010,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,061300,062100,gherkin_rules/esdrv212.feature,Route CY2017 H1 claims to ESCAL170,DRV-011,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0011,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,062800,063600,gherkin_rules/esdrv212.feature,Route CY2016 claims to ESCAL160,DRV-012,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0012,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,064300,065100,gherkin_rules/esdrv212.feature,Route CY2015 claims to ESCAL151,DRV-013,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0013,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,065800,066600,gherkin_rules/esdrv212.feature,Route CY2014 claims to ESCAL140,DRV-014,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0014,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,067300,068100,gherkin_rules/esdrv212.feature,Route CY2013 claims to ESCAL130,DRV-015,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0015,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,068900,069700,gherkin_rules/esdrv212.feature,Route CY2012 claims to ESCAL122,DRV-016,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0016,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,070500,071300,gherkin_rules/esdrv212.feature,Route CY2011 claims to ESCAL117,DRV-017,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0017,,internal,
ESDRV212,0100-ENTER-DRIVER,0100-ENTER-DRIVER,072100,072800,gherkin_rules/esdrv212.feature,Route CY2010 claims to ESCAL100,DRV-018,Internal/No policy citation found,,,2021-01-01,,TC-AUTO-0018,,internal,
